circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate
adder_4.txt,gmw,64,128,64,0.9999999999982907,0.46,1.01,0,0,0,0
adder_4.txt,gmw,64,128,64,0.9999999999982861,0.46,0.75,0,0,0,0
adder_4.txt,gmw,64,128,64,0.9999999999982958,0.46,0.8,0,0,0,0
adder_4.txt,gmw,64,256,128,0.9999999999982849,0.8,0.85,0,0,0,0
adder_4.txt,gmw,64,256,128,0.9999999999982853,0.8,0.89,0,0,0,0
adder_4.txt,gmw,64,256,128,0.9999999999982826,0.87,0.82,0,0,0,0
adder_4.txt,gmw,64,512,256,0.9999999999982817,1.49,1.0,0,0,0,0
adder_4.txt,gmw,64,512,256,0.9999999999982824,1.56,0.98,0,0,0,0
adder_4.txt,gmw,64,512,256,0.99999999999828,1.55,1.02,0,0,0,0
adder_4.txt,gmw,128,128,64,1.0,0.84,1.02,0,0,0,0
adder_4.txt,gmw,128,128,64,1.0,0.81,1.08,0,0,0,0
adder_4.txt,gmw,128,128,64,1.0,0.81,1.02,0,0,0,0
adder_4.txt,gmw,128,256,128,1.0,1.49,1.26,0,0,0,0
adder_4.txt,gmw,128,256,128,1.0,1.57,1.25,0,0,0,0
adder_4.txt,gmw,128,256,128,1.0,1.57,1.25,0,0,0,0
adder_4.txt,gmw,128,512,256,1.0,2.96,1.58,0,0,0,0
adder_4.txt,gmw,128,512,256,1.0,2.9,1.51,0,0,0,0
adder_4.txt,gmw,128,512,256,1.0,2.8,1.56,0,0,0,0
adder_4.txt,gmw,64,128,64,0.9999999999982876,0.48,0.8,1,0,0,0
adder_4.txt,gmw,64,128,64,0.9999999999982878,0.5,1.06,1,0,0,0
adder_4.txt,gmw,64,128,64,0.9999999999982874,0.5,0.8,1,0,0,0
adder_4.txt,gmw,64,256,128,0.999999999998284,0.94,0.9,1,0,0,0
adder_4.txt,gmw,64,256,128,0.9999999999982834,0.91,0.86,1,0,0,0
adder_4.txt,gmw,64,256,128,0.999999999998284,0.91,0.83,1,0,0,0
adder_4.txt,gmw,64,512,256,0.999999999998283,1.71,0.98,1,0,0,0
adder_4.txt,gmw,64,512,256,0.9999999999982803,1.71,1.06,1,0,0,0
adder_4.txt,gmw,64,512,256,0.9999999999982828,1.61,1.03,1,0,0,0
adder_4.txt,gmw,128,128,64,1.0,0.92,1.1,1,0,0,0
adder_4.txt,gmw,128,128,64,1.0,0.95,1.1,1,0,0,0
adder_4.txt,gmw,128,128,64,1.0,0.87,1.13,1,0,0,0
adder_4.txt,gmw,128,256,128,1.0,1.69,1.18,1,0,0,0
adder_4.txt,gmw,128,256,128,1.0,1.74,1.25,1,0,0,0
adder_4.txt,gmw,128,256,128,1.0,1.62,1.25,1,0,0,0
adder_4.txt,gmw,128,512,256,1.0,3.36,1.6,1,0,0,0
